,",ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location"
20,"12018,4805,HP633754,10/17/2008 10:55:00 PM,060XX S PRAIRIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,311,3.0,20.0,40.0,01A,1179072.0,1865118.0,2008,08/17/2015 03:03:40 PM,41.78517586,-87.618982288,""(41.78517586, -87.618982288)"""
21,"12857,4806,HP640471,10/21/2008 07:40:00 PM,007XX S OAKLEY BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,True,True,1224,12.0,2.0,28.0,01A,1161171.0,1896649.0,2008,08/17/2015 03:03:40 PM,41.872089887,-87.68374121,""(41.872089887, -87.68374121)"""
22,"13626,4807,HP645416,10/24/2008 03:41:00 PM,070XX S YALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,True,731,7.0,6.0,69.0,01A,1175841.0,1858327.0,2008,08/17/2015 03:03:40 PM,41.766613666,-87.63103182,""(41.766613666, -87.63103182)"""
23,"14419,4808,HP645416,10/24/2008 03:41:00 PM,070XX S YALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,True,731,7.0,6.0,69.0,01A,1175841.0,1858327.0,2008,08/17/2015 03:03:40 PM,41.766613666,-87.63103182,""(41.766613666, -87.63103182)"""
24,"15088,4809,HP645990,10/24/2008 08:26:00 PM,016XX W 56TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,715,7.0,15.0,67.0,01A,1166418.0,1867575.0,2008,08/17/2015 03:03:40 PM,41.792197295,-87.665307388,""(41.792197295, -87.665307388)"""
25,"15606,4810,HP646253,10/24/2008 10:00:00 PM,045XX S LA CROSSE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,False,False,814,8.0,23.0,56.0,01A,1144790.0,1874033.0,2008,08/17/2015 03:03:40 PM,41.810352872,-87.744452603,""(41.810352872, -87.744452603)"""
26,"16193,4811,HP646645,10/25/2008 05:57:00 AM,039XX W FIFTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1132,11.0,24.0,26.0,01A,1150158.0,1897024.0,2008,08/17/2015 03:03:40 PM,41.873340516,-87.72416505,""(41.873340516, -87.72416505)"""
27,"16761,4812,HP647382,10/25/2008 12:00:00 PM,021XX N KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STAIRWELL,False,False,2522,25.0,30.0,20.0,01A,1147371.0,1913812.0,2008,08/17/2015 03:03:40 PM,41.919462416,-87.733967003,""(41.919462416, -87.733967003)"""
28,"17199,4813,HP648331,10/26/2008 06:37:00 AM,057XX S BISHOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,713,7.0,16.0,67.0,01A,1167645.0,1866690.0,2008,08/17/2015 03:03:40 PM,41.789742498,-87.660833554,""(41.789742498, -87.660833554)"""
29,"17773,4814,HP649414,10/26/2008 06:57:00 PM,030XX W GEORGE ST,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,False,False,1411,14.0,35.0,21.0,01A,1155444.0,1919123.0,2008,08/17/2015 03:03:40 PM,41.933877553,-87.704162347,""(41.933877553, -87.704162347)"""
